Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Density (g/cc)	

130	 807	A	  1	H	 1	   1.2	       0.012	        18.365	
130	 807	A	  1	H	 1	   2.1	       0.021	         1.474	
130	 807	A	  1	H	 1	   3.0	       0.030	         1.461	
130	 807	A	  1	H	 1	   3.5	       0.035	         1.476	
130	 807	A	  1	H	 1	   6.0	       0.060	         1.467	
130	 807	A	  1	H	 1	   7.3	       0.073	         1.481	
130	 807	A	  1	H	 1	   9.0	       0.090	         1.495	
130	 807	A	  1	H	 1	  10.9	       0.109	         1.492	
130	 807	A	  1	H	 1	  12.0	       0.120	         1.499	
130	 807	A	  1	H	 1	  12.4	       0.124	         1.525	
130	 807	A	  1	H	 1	  15.0	       0.150	         1.437	
130	 807	A	  1	H	 1	  18.0	       0.180	         1.533	
130	 807	A	  1	H	 1	  19.8	       0.198	         1.520	
130	 807	A	  1	H	 1	  21.0	       0.210	         1.554	
130	 807	A	  1	H	 1	  21.2	       0.212	         1.483	
130	 807	A	  1	H	 1	  24.0	       0.240	         1.581	
130	 807	A	  1	H	 1	  24.9	       0.249	         1.520	
130	 807	A	  1	H	 1	  27.0	       0.270	         1.505	
130	 807	A	  1	H	 1	  28.8	       0.288	         1.541	
130	 807	A	  1	H	 1	  30.0	       0.300	         1.598	
130	 807	A	  1	H	 1	  30.3	       0.303	         1.550	
130	 807	A	  1	H	 1	  33.0	       0.330	         1.534	
130	 807	A	  1	H	 1	  34.3	       0.343	         1.540	
130	 807	A	  1	H	 1	  36.1	       0.361	         1.562	
130	 807	A	  1	H	 1	  38.2	       0.382	         1.611	
130	 807	A	  1	H	 1	  39.0	       0.390	         1.448	
130	 807	A	  1	H	 1	  42.0	       0.420	         1.522	
130	 807	A	  1	H	 1	  43.0	       0.430	         1.562	
130	 807	A	  1	H	 1	  45.0	       0.450	         1.597	
130	 807	A	  1	H	 1	  46.8	       0.468	         1.512	
130	 807	A	  1	H	 1	  48.0	       0.480	         1.511	
130	 807	A	  1	H	 1	  48.1	       0.481	         1.553	
130	 807	A	  1	H	 1	  51.1	       0.511	         1.574	
130	 807	A	  1	H	 1	  52.1	       0.521	         1.518	
130	 807	A	  1	H	 1	  53.9	       0.539	         1.553	
130	 807	A	  1	H	 1	  56.0	       0.560	         1.569	
