Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Density (g/cc)	

130	 806	A	  1	H	 1	   1.0	       0.010	         1.450	
130	 806	A	  1	H	 1	   3.0	       0.030	         1.481	
130	 806	A	  1	H	 1	   4.0	       0.040	         1.461	
130	 806	A	  1	H	 1	   6.0	       0.060	         1.462	
130	 806	A	  1	H	 1	   6.4	       0.064	        18.615	
130	 806	A	  1	H	 1	   7.1	       0.071	        18.615	
130	 806	A	  1	H	 1	   9.0	       0.090	         1.469	
130	 806	A	  1	H	 1	  11.0	       0.110	         1.472	
130	 806	A	  1	H	 1	  12.0	       0.120	         1.455	
130	 806	A	  1	H	 1	  13.2	       0.132	         1.553	
130	 806	A	  1	H	 1	  15.0	       0.150	         1.541	
130	 806	A	  1	H	 1	  15.6	       0.156	         1.515	
130	 806	A	  1	H	 1	  18.0	       0.180	         1.429	
130	 806	A	  1	H	 1	  20.2	       0.202	         1.415	
130	 806	A	  1	H	 1	  21.0	       0.210	         1.441	
130	 806	A	  1	H	 1	  22.5	       0.225	         1.441	
130	 806	A	  1	H	 1	  24.0	       0.240	         1.456	
130	 806	A	  1	H	 1	  24.7	       0.247	         1.509	
130	 806	A	  1	H	 1	  27.0	       0.270	         1.449	
130	 806	A	  1	H	 1	  29.3	       0.293	         1.394	
130	 806	A	  1	H	 1	  30.0	       0.300	         1.515	
130	 806	A	  1	H	 1	  31.6	       0.316	         1.484	
130	 806	A	  1	H	 1	  33.0	       0.330	        18.615	
130	 806	A	  1	H	 1	  33.9	       0.339	         1.539	
130	 806	A	  1	H	 1	  36.0	       0.360	         1.506	
130	 806	A	  1	H	 1	  36.2	       0.362	         1.459	
130	 806	A	  1	H	 1	  39.0	       0.390	         1.384	
130	 806	A	  1	H	 1	  40.9	       0.409	         1.465	
130	 806	A	  1	H	 1	  42.0	       0.420	         1.535	
130	 806	A	  1	H	 1	  42.8	       0.428	         1.457	
130	 806	A	  1	H	 1	  45.0	       0.450	         1.508	
130	 806	A	  1	H	 1	  45.3	       0.453	         1.463	
130	 806	A	  1	H	 1	  48.0	       0.480	         1.457	
130	 806	A	  1	H	 1	  49.2	       0.492	         1.445	
130	 806	A	  1	H	 1	  51.0	       0.510	         1.474	
130	 806	A	  1	H	 1	  51.4	       0.514	         1.457	
130	 806	A	  1	H	 1	  54.0	       0.540	         1.499	
130	 806	A	  1	H	 1	  56.2	       0.562	         1.502	
130	 806	A	  1	H	 1	  57.0	       0.570	         1.528	
130	 806	A	  1	H	 1	  57.9	       0.579	         1.456	
130	 806	A	  1	H	 1	  60.0	       0.600	         1.518	
130	 806	A	  1	H	 1	  62.2	       0.622	         1.448	
130	 806	A	  1	H	 1	  63.0	       0.630	         1.490	
130	 806	A	  1	H	 1	  64.6	       0.646	         1.498	
130	 806	A	  1	H	 1	  66.0	       0.660	         1.486	
130	 806	A	  1	H	 1	  66.8	       0.668	         1.487	
130	 806	A	  1	H	 1	  69.0	       0.690	         1.487	
130	 806	A	  1	H	 1	  71.3	       0.713	         1.506	
130	 806	A	  1	H	 1	  72.0	       0.720	         1.527	
130	 806	A	  1	H	 1	  73.5	       0.735	         1.502	
130	 806	A	  1	H	 1	  75.0	       0.750	         1.509	
130	 806	A	  1	H	 1	  75.7	       0.757	         1.533	
130	 806	A	  1	H	 1	  78.0	       0.780	         1.457	
130	 806	A	  1	H	 1	  80.4	       0.804	         1.527	
130	 806	A	  1	H	 1	  81.0	       0.810	         1.443	
130	 806	A	  1	H	 1	  82.7	       0.827	        18.615	
130	 806	A	  1	H	 1	  83.4	       0.834	         1.422	
130	 806	A	  1	H	 1	  84.0	       0.840	         1.545	
130	 806	A	  1	H	 1	  85.2	       0.852	         1.580	
130	 806	A	  1	H	 1	  87.0	       0.870	         1.459	
130	 806	A	  1	H	 1	  87.4	       0.874	         1.528	
130	 806	A	  1	H	 1	  90.0	       0.900	        18.615	
130	 806	A	  1	H	 1	  92.1	       0.921	         1.474	
130	 806	A	  1	H	 1	  93.0	       0.930	         1.487	
130	 806	A	  1	H	 1	  94.2	       0.942	         1.482	
130	 806	A	  1	H	 1	  96.0	       0.960	         1.529	
130	 806	A	  1	H	 1	  96.3	       0.963	         1.586	
130	 806	A	  1	H	 1	  99.1	       0.991	         1.518	
130	 806	A	  1	H	 1	 100.6	       1.006	         1.529	
130	 806	A	  1	H	 1	 101.9	       1.019	         1.520	
130	 806	A	  1	H	 1	 103.0	       1.030	         1.631	
130	 806	A	  1	H	 1	 105.1	       1.051	         1.492	
130	 806	A	  1	H	 1	 108.0	       1.080	         1.529	
130	 806	A	  1	H	 1	 109.8	       1.098	         1.533	
130	 806	A	  1	H	 1	 112.3	       1.123	         1.477	
130	 806	A	  1	H	 1	 114.5	       1.145	         1.529	
130	 806	A	  1	H	 1	 116.7	       1.167	         1.520	
130	 806	A	  1	H	 1	 119.1	       1.191	         1.538	
130	 806	A	  1	H	 1	 121.5	       1.215	         1.468	
130	 806	A	  1	H	 1	 123.8	       1.238	         1.513	
130	 806	A	  1	H	 1	 126.3	       1.263	         1.462	
130	 806	A	  1	H	 1	 128.6	       1.286	         1.472	
130	 806	A	  1	H	 1	 130.9	       1.309	         1.525	
130	 806	A	  1	H	 1	 133.2	       1.332	         1.444	
130	 806	A	  1	H	 1	 135.6	       1.356	         1.589	
130	 806	A	  1	H	 1	 138.0	       1.380	         1.489	
130	 806	A	  1	H	 1	 140.2	       1.402	         1.527	
130	 806	A	  1	H	 1	 142.6	       1.426	         1.502	
130	 806	A	  1	H	 1	 145.1	       1.451	         1.580	
130	 806	A	  1	H	 1	 147.4	       1.474	         1.570	
130	 806	A	  1	H	 1	 149.7	       1.497	         1.492	
130	 806	A	  1	H	 2	   1.1	       1.511	         1.584	
130	 806	A	  1	H	 2	   3.0	       1.530	         1.552	
130	 806	A	  1	H	 2	   4.0	       1.540	         1.518	
130	 806	A	  1	H	 2	   6.0	       1.560	         1.549	
130	 806	A	  1	H	 2	   6.3	       1.563	         1.514	
130	 806	A	  1	H	 2	   9.0	       1.590	         1.524	
130	 806	A	  1	H	 2	  10.9	       1.609	         1.477	
130	 806	A	  1	H	 2	  12.0	       1.620	         1.531	
130	 806	A	  1	H	 2	  13.1	       1.631	         1.496	
130	 806	A	  1	H	 2	  14.9	       1.649	         1.520	
130	 806	A	  1	H	 2	  15.4	       1.654	         1.587	
130	 806	A	  1	H	 2	  18.1	       1.681	         1.498	
